Data,Sil_Score,n_clusters,Metodo
42,Ptrans_test1,0.19245635037676886,9,Agglomerative
43,Ptrans_test1_TA,0.20255234106800551,9,Agglomerative
44,Ptrans_test2,0.18024162833750074,9,Agglomerative
45,Ptrans_test2_TA,0.19033548330671005,9,Agglomerative
46,Ptrans_test3,0.2067987741041708,9,Agglomerative
47,Ptrans_test3_TA,0.21241675136328353,9,Agglomerative
48,Ptrans_test1,0.19625760903490308,10,Agglomerative
49,Ptrans_test1_TA,0.19884081328842113,10,Agglomerative
50,Ptrans_test2,0.1753278140603974,10,Agglomerative
51,Ptrans_test2_TA,0.2051711129757596,10,Agglomerative
52,Ptrans_test3,0.2086959605356135,10,Agglomerative
53,Ptrans_test3_TA,0.2191443127536389,10,Agglomerative
0,Ptrans_test1,0.2191885665763659,2,KMeans
1,Ptrans_test1_TA,0.22199088586936744,2,KMeans
2,Ptrans_test2,0.23044031305779297,2,KMeans
3,Ptrans_test2_TA,0.23677228467546385,2,KMeans
4,Ptrans_test3,0.2121492817022781,2,KMeans
5,Ptrans_test3_TA,0.20948911873087706,2,KMeans
6,Ptrans_test1,0.20654101242374248,3,KMeans
7,Ptrans_test1_TA,0.2122331429451806,3,KMeans
8,Ptrans_test2,0.22478253632650244,3,KMeans
9,Ptrans_test2_TA,0.22948787431090997,3,KMeans
10,Ptrans_test3,0.22692946180210574,3,KMeans
11,Ptrans_test3_TA,0.229824321107121,3,KMeans
12,Ptrans_test1,0.21051781696167288,4,KMeans
13,Ptrans_test1_TA,0.20665913334488192,4,KMeans
14,Ptrans_test2,0.23501072151936458,4,KMeans
15,Ptrans_test2_TA,0.2464787303050973,4,KMeans
16,Ptrans_test3,0.21267061500770357,4,KMeans
17,Ptrans_test3_TA,0.2152495450537263,4,KMeans
18,Ptrans_test1,0.20870618382333483,5,KMeans
19,Ptrans_test1_TA,0.2069807791342704,5,KMeans
20,Ptrans_test2,0.2372056193813879,5,KMeans
21,Ptrans_test2_TA,0.2120284487964471,5,KMeans
22,Ptrans_test3,0.21683066769456114,5,KMeans
23,Ptrans_test3_TA,0.22281743610414434,5,KMeans
24,Ptrans_test1,0.21122165581140837,6,KMeans
25,Ptrans_test1_TA,0.20601455615496103,6,KMeans
26,Ptrans_test2,0.21290130059722712,6,KMeans
27,Ptrans_test2_TA,0.21443131884168695,6,KMeans
28,Ptrans_test3,0.21148547354550104,6,KMeans
29,Ptrans_test3_TA,0.20238908912400055,6,KMeans
30,Ptrans_test1,0.20192200624307263,7,KMeans
31,Ptrans_test1_TA,0.21621478713395814,7,KMeans
32,Ptrans_test2,0.19892332250369704,7,KMeans
33,Ptrans_test2_TA,0.22879022252592676,7,KMeans
34,Ptrans_test3,0.20969646577333526,7,KMeans
35,Ptrans_test3_TA,0.19788329509559632,7,KMeans
36,Ptrans_test1,0.20000859448348896,8,KMeans
37,Ptrans_test1_TA,0.21277363926956247,8,KMeans
38,Ptrans_test2,0.1968776036548269,8,KMeans
39,Ptrans_test2_TA,0.2083503883841456,8,KMeans
40,Ptrans_test3,0.21181080129975463,8,KMeans
41,Ptrans_test3_TA,0.21893834005099533,8,KMeans
42,Ptrans_test1,0.22576387252280739,9,KMeans
43,Ptrans_test1_TA,0.20244187414362824,9,KMeans
44,Ptrans_test2,0.19775038986168872,9,KMeans
45,Ptrans_test2_TA,0.2121872306293426,9,KMeans
46,Ptrans_test3,0.18728797651121637,9,KMeans
47,Ptrans_test3_TA,0.2045893131204519,9,KMeans
48,Ptrans_test1,0.2256787258788321,10,KMeans
49,Ptrans_test1_TA,0.21064355991253503,10,KMeans
50,Ptrans_test2,0.19322549135232525,10,KMeans
51,Ptrans_test2_TA,0.21364375382861886,10,KMeans
52,Ptrans_test3,0.19900138376186904,10,KMeans
53,Ptrans_test3_TA,0.2105483109274938,10,KMeans
